sexo,rango_edad,rango_salarial,ta
2,E9,W2,11
1,E4,W8,1
1,E7,W2,2
1,E6,W2,2
1,E7,W4,2
1,E4,W3,2
2,E3,W3,11
1,E10,W4,1
1,E5,W8,2
1,E7,W16,3
1,E8,W3,1
1,E6,W3,1
1,E4,W2,199
2,E5,W3,6
2,E7,W5,1
1,E3,W2,7
1,E6,W7,1
1,E4,W4,1
1,E6,W7,7
1,E13,W2,1
2,E7,W2,2
2,E12,W6,1
2,E7,W8,2
1,E6,W4,5
1,E5,W2,1
1,E8,W2,2
1,E7,W2,1
2,E4,W8,1
2,E3,W18,1
2,E12,W2,1
1,E3,W2,1
1,E6,W3,3
1,E3,W3,8
1,E5,W7,2
1,E5,W7,1
1,E9,W3,1
2,E9,W3,1
1,E5,W6,144
1,E6,W12,1
1,E3,W2,1
1,E5,W18,1
2,E6,W14,1
1,E9,W9,1
2,E4,W2,1
2,E6,W2,5
2,E8,W18,1
1,E3,W3,4
1,E7,W7,1
1,E8,W2,1
2,E8,W12,2
1,E10,W2,1
1,E4,NA,0
1,E5,W6,3
2,E12,W4,1
1,E10,W5,2
1,E6,W3,2
2,E6,W4,3
2,E7,W3,5
1,E5,W6,9
2,E8,W15,1
1,E4,W3,4
1,E6,W6,1
1,E13,W7,3
2,E10,W6,1
1,E10,W2,1
1,E6,W5,1
1,E5,W5,1
1,E9,W4,1
1,E9,W3,13
1,E5,W11,1
1,E3,W12,1
1,E5,W6,2
2,E8,W10,1
1,E12,W2,1
2,E4,W3,1
1,E8,W2,14
2,E6,W4,14
1,E5,W2,2
1,E6,W3,1
2,E8,W3,2
2,E6,W4,22
1,E2,W2,1
2,E6,W15,1
2,E4,W7,13
2,E7,W2,2
2,E8,W17,1
1,E3,W3,1
1,E4,W6,1
1,E4,W2,14
1,E9,W2,1
1,E5,W7,1
1,E8,W3,1
2,E10,W18,1
1,E7,W2,21
2,E11,W3,1
2,E4,W14,2
2,E3,W7,2
2,E4,W2,2
1,E10,W6,1
2,E4,W2,3
1,E5,W3,1
1,E5,W2,5
