idnum,uniq_id,cluster,upm,wt,wave,pais,nationality,estratopri,prov,municipio,estratosec,tamano,ur,fecha,q1,q2,a4,vb1,inf1,vb2,vb3n,vb10,vb11,pol1,vb20,q10new
752,MEX18_0752,661,72,1,2018,México,Mexicano,Centro,Estado de México,Nicolás Romero,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,30/01/2019,Mujer,46,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,Menos de $620
777,MEX18_0777,662,72,1,2018,México,Mexicano,Centro,Estado de México,Nicolás Romero,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,30/01/2019,Hombre,64,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $2,401 - $2,800"
957,MEX18_0957,491,128,1,2018,México,Mexicano,Centro Occidente,Jalisco,Zapotlán El Grande,"Grande (más de 100,000)",Ciudad mediana,Urbano,10/02/2019,Mujer,20,Violencia,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Mucho,Votaría por algún candidato o partido diferente del actual gobierno,No sabe
686,MEX18_0686,81,84,1,2018,México,Mexicano,Norte,Coahuila,Parras,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,23/02/2019,Mujer,34,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $620 - $1,200"
85,MEX18_0085,441,74,1,2018,México,Mexicano,Centro,Hidalgo,Nopala de Villagrán,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,07/03/2019,Hombre,57,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,801 - $4,300"
866,MEX18_0866,742,85,1,2018,México,Mexicano,Centro Occidente,Michoacán,Pátzcuaro,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,07/02/2019,Mujer,38,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,Menos de $620
645,MEX18_0645,1151,18,1,2018,México,Mexicano,Norte,Tamaulipas,Ciudad Victoria,"Grande (más de 100,000)",Ciudad grande,Urbano,01/03/2019,Mujer,20,"Economía, problemas con, crisis de",No,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $620 - $1,200"
221,MEX18_0221,1172,103,1,2018,México,Mexicano,Norte,Tamaulipas,Tampico,"Grande (más de 100,000)",Ciudad grande,Urbano,03/03/2019,Hombre,52,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $9,301 - $13,000"
127,MEX18_0127,862,99,1,2018,México,Mexicano,Norte,Nuevo León,San Nicolás de los Garza,"Grande (más de 100,000)",Ciudad grande,Urbano,28/02/2019,Mujer,29,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $6,401 - $7,600"
1289,MEX18_1289,701,113,1,2018,México,Mexicano,Centro,Estado de México,Toluca,"Grande (más de 100,000)",Ciudad grande,Urbano,01/02/2019,Hombre,49,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,301 - $4,800"
251,MEX18_0251,842,62,1,2018,México,Mexicano,Norte,Nuevo León,Monterrey,"Grande (más de 100,000)",Ciudad grande,Urbano,26/02/2019,Hombre,53,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,601 - $2,000"
77,MEX18_0077,871,100,1,2018,México,Mexicano,Norte,Nuevo León,Santa Catarina,"Grande (más de 100,000)",Ciudad grande,Urbano,25/02/2019,Hombre,34,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,PAN / Partido Acción Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Más de $13,000"
185,MEX18_0185,491,128,1,2018,México,Mexicano,Centro Occidente,Jalisco,Zapotlán El Grande,"Grande (más de 100,000)",Ciudad mediana,Urbano,10/02/2019,Hombre,24,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $2,001 - $2,400"
695,MEX18_0695,861,99,1,2018,México,Mexicano,Norte,Nuevo León,San Nicolás de los Garza,"Grande (más de 100,000)",Ciudad grande,Urbano,26/02/2019,Mujer,62,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $620 - $1,200"
306,MEX18_0306,741,85,1,2018,México,Mexicano,Centro Occidente,Michoacán,Pátzcuaro,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,07/02/2019,Hombre,40,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,201 - $1,600"
934,MEX18_0934,441,74,1,2018,México,Mexicano,Centro,Hidalgo,Nopala de Villagrán,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,07/03/2019,Mujer,55,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por algún candidato o partido diferente del actual gobierno,"Entre $1,601 - $2,000"
1618,MEX18_1618,702,113,1,2018,México,Mexicano,Centro,Estado de México,Toluca,"Grande (más de 100,000)",Ciudad grande,Urbano,01/02/2019,Mujer,38,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,801 - $4,300"
1568,MEX18_1568,82,84,1,2018,México,Mexicano,Norte,Coahuila,Parras,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,23/02/2019,Hombre,43,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,No responde,"Entre $4,301 - $4,800"
275,MEX18_0275,502,47,1,2018,México,Mexicano,Centro Occidente,Jalisco,Jamay,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,11/02/2019,Hombre,78,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $2,401 - $2,800"
