Grado,Apellido Paterno,Apellido Materno,Nombre,Nivel,Institucion de Adscripcion,Area del Conocimiento
DRA.,HERNANDEZ,LOPEZ,SILVIA HORTENCIA,C,"AGROPECUARIA EL AVION, S. DE P.R. DE R.L.",Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,FINKELSTEIN,SHAPIRO,DANIEL,1,ARIZONA STATE UNIVERSITY,Área II: BIOLOGÍA Y QUÍMICA
DR.,ALEJO,JAIME,ANTONIO,1,"ASOCIACION MEXICANA DE BIOLOGIA SINTETICA, A.C.",Área V: CIENCIAS SOCIALES
MED.,GIL,CARRASCO,FELIX,1,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C.,RUIZ,CRUZ,MATILDE,1,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,JIMENEZ,ROMAN,JESUS,1,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,HERNANDEZ,ZIMBRON,LUIS FERNANDO,1,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,FROMOW,GUERRA,JORGE JANS,1,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,QUIROZ,MERCADO,HUGO,3,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,BENAVIDES,PERALES,GUILLERMO,2,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DRA.,ALEXANDROVA,KABADJOVA,BILIANA,1,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR.,MARTINEZ,JARAMILLO,SERAFIN,1,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR.,IBARRA,RAMIREZ,RAUL,1,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR.,BATIZ,ZUK,ENRIQUE EUGENIO,C,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DRA.,LOPEZ,NORIA,GABRIELA,C,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR.,CARRILLO,ABREGO,JULIO ARTURO,C,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR.,TELLO,BRAVO,BENJAMIN,C,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR.,BOONMAN,sin apellido Materno,TJEERD MENNO,C,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR.,ALFARO,MONTUFAR,CARLOS ALEJANDRO,C,BANCO DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,VARGAS,MAGAÑA,MARCOS CESAR,C,BANCO DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,ROMAN,RANGEL,EDGAR FRANCISCO,1,BANCO DE MEXICO,Área VII: INGENIERÍAS
DR.,DOMINGUEZ,MEDINA,CHRISTIAN HORACIO,C,BANCO DE MEXICO,Área VII: INGENIERÍAS
DR.,MOYA,SANCHEZ,EDUARDO ULISES,C,BARCELONA SUPERCOMPUTING CENTER,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA.,MONTERRUBIO,VELASCO,MARISOL,C,BARCELONA SUPERCOMPUTING CENTER,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,CRUZ,HIPOLITO,HUGO ENRIQUE,1,"BAYER DE MEXICO, S.A. DE C.V.",Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,POLANCO,MARTINEZ,JOSUE MOISES,1,BC3 BASQUE CENTRE FOR CLIMATE CHANGE,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
