Pais nombre,Pais,serie Name,serie Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,ARG,PIB (US$ a precios constantes de 2010),NY.GDP.MKTP.KD,1.16E+11,1.22E+11,1.21E+11,1.14E+11,1.26E+11,1.39E+11,1.38E+11,1.43E+11,1.50E+11,1.64E+11,1.69E+11,1.79E+11,1.82E+11,1.87E+11,1.97E+11,1.97E+11,1.93E+11,2.06E+11,1.97E+11,2.17E+11,2.21E+11,2.09E+11,2.08E+11,2.17E+11,2.20E+11,2.09E+11,2.21E+11,2.27E+11,2.25E+11,2.09E+11,2.04E+11,2.22E+11,2.40E+11,2.60E+11,2.75E+11,2.67E+11,2.82E+11,3.05E+11,3.16E+11,3.06E+11,3.03E+11,2.90E+11,2.58E+11,2.81E+11,3.06E+11,3.34E+11,3.60E+11,3.93E+11,4.09E+11,3.85E+11,4.24E+11,4.49E+11,4.44E+11,4.55E+11,4.44E+11,4.56E+11,4.46E+11,4.59E+11,4.47E+11,4.38E+11,..
Argentina,ARG,"Poblacion, total",SP.POP.TOTL,20481779,20817266,21153052,21488912,21824425,22159650,22494035,22828869,23168267,23517611,23880561,24259561,24653175,25056478,25462302,25865776,26264681,26661398,27061047,27471036,27896528,28338515,28794548,29262047,29737093,30216279,30698964,31184415,31668949,32148134,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,..
Argentina,ARG,Cajeros automaticos (por cada 100.000 adultos),FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.871377835,2.09667066,2.878998619,4.957488845,9.989824437,13.85817065,19.28814641,27.04951185,34.52697687,43.33749478,45.66801379,47.51394969,50.3457928,53.11520383,58.21267029,60.88981405,..
Canadá,CAN,PIB (US$ a precios constantes de 2010),NY.GDP.MKTP.KD,2.94E+11,3.03E+11,3.26E+11,3.43E+11,3.66E+11,3.89E+11,4.15E+11,4.28E+11,4.49E+11,4.72E+11,5.28E+11,5.49E+11,5.80E+11,6.19E+11,6.39E+11,6.49E+11,6.87E+11,7.11E+11,7.37E+11,7.64E+11,7.81E+11,8.08E+11,7.82E+11,8.02E+11,8.50E+11,8.90E+11,9.09E+11,9.46E+11,9.88E+11,1.01E+12,1.01E+12,9.91E+11,1.00E+12,1.03E+12,1.07E+12,1.10E+12,1.12E+12,1.08E+12,1.11E+12,1.15E+12,1.21E+12,1.22E+12,1.27E+12,1.31E+12,1.37E+12,1.43E+12,1.49E+12,1.60E+12,1.61E+12,1.57E+12,1.61E+12,1.66E+12,1.69E+12,1.73E+12,1.78E+12,1.79E+12,1.81E+12,1.87E+12,1.91E+12,1.94E+12,..
Canadá,CAN,"Poblacion, total",SP.POP.TOTL,17909009,18271000,18614000,18964000,19325000,19678000,20048000,20412000,20744000,21028000,21324000,21962032,22218463,22491777,22807969,23143275,23449808,23725843,23963203,24201544,24515667,24819915,25116942,25366451,25607053,25842116,26100278,26446601,26791747,27276781,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36543321,37057765,37589262,..
Canadá,CAN,Cajeros automaticos (por cada 100.000 adultos),FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,185.0845334,198.3622513,206.4975185,212.0149407,217.7763068,216.2571935,218.2233679,207.6478732,203.3937363,221.0057311,221.8543924,221.4914413,223.8877627,228.4291805,220.0079194,214.1441009,..
Brasil,BRA,PIB (US$ a precios constantes de 2010),NY.GDP.MKTP.KD,2.47E+11,2.72E+11,2.86E+11,2.89E+11,2.99E+11,3.08E+11,3.21E+11,3.36E+11,3.75E+11,4.11E+11,4.47E+11,4.98E+11,5.58E+11,6.36E+11,6.94E+11,7.30E+11,8.01E+11,8.38E+11,8.65E+11,9.24E+11,1.01E+12,9.63E+11,9.69E+11,9.36E+11,9.85E+11,1.06E+12,1.15E+12,1.19E+12,1.19E+12,1.23E+12,1.19E+12,1.21E+12,1.20E+12,1.26E+12,1.33E+12,1.38E+12,1.41E+12,1.46E+12,1.47E+12,1.47E+12,1.54E+12,1.56E+12,1.61E+12,1.63E+12,1.72E+12,1.77E+12,1.85E+12,1.96E+12,2.06E+12,2.05E+12,2.21E+12,2.30E+12,2.34E+12,2.41E+12,2.42E+12,2.34E+12,2.26E+12,2.29E+12,2.32E+12,2.35E+12,..
Brasil,BRA,"Poblacion, total",SP.POP.TOTL,72179226,74311343,76514328,78772657,81064571,83373530,85696505,88035814,90387079,92746614,95113265,97482920,99859383,102259497,104706198,107216205,109790938,112425392,115121153,117878411,120694009,123570327,126498314,129448819,132383568,135274080,138108912,140891602,143627503,146328304,149003223,151648011,154259380,156849078,159432716,162019896,164614688,167209040,169785250,172318675,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,211049527,..
Brasil,BRA,Cajeros automaticos (por cada 100.000 adultos),FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105.0734819,108.5765665,107.1552593,109.3390678,111.8403862,114.3882886,118.0587897,116.3053881,115.3610687,118.4366026,117.9346712,114.9724861,112.0997495,107.8716694,104.7481234,101.6713344,..
Chile,CHL,PIB (US$ a precios constantes de 2010),NY.GDP.MKTP.KD,29375692257,30916527184,32161438540,34039711621,34910182119,35241923981,39201792005,40619328747,42078380450,43735420036,44535326423,48731750486,48234712071,45808868608,46900104265,40844315409,42409708110,46839269115,50446409757,54693142234,59061276084,62915243091,55985566287,53176534993,55358731549,57578570294,60674968648,64594855902,69339419416,76220235503,78761086957,84907911074,94389329346,1.01E+11,1.06E+11,1.15E+11,1.23E+11,1.32E+11,1.38E+11,1.37E+11,1.45E+11,1.49E+11,1.54E+11,1.60E+11,1.72E+11,1.82E+11,1.93E+11,2.03E+11,2.10E+11,2.06E+11,2.19E+11,2.32E+11,2.44E+11,2.54E+11,2.59E+11,2.65E+11,2.69E+11,2.72E+11,2.83E+11,2.86E+11,..
